客戶代號,客戶簡稱,日  期,發票號碼,幣別,匯率,應收帳款,本幣未收帳款,備註,項目
10151505,久井旗山意站,2021/10/29,SY80529682,NT$,1,7,0,202109 處理費-行銷獎勵回饋 台塑-久井旗山意站,202109 處理費-行銷獎勵
10151505,久井旗山意站,2022/1/10,WY24058175,NT$,1,1999,1999,202110 處理費-行銷費用 台塑-久井旗山意站,202110 處理費-行銷費用
10151505,久井旗山意站,2022/3/22,ZA90344891,NT$,1,1515,1515,202111 處理費-行銷費用 台塑-久井旗山意站,202111 處理費-行銷費用
10151505,久井旗山意站,2022/3/25,ZA90345147,NT$,1,1710,1710,202112 處理費-行銷費用 台塑-久井旗山意站,202112 處理費-行銷費用
10151505,久井旗山意站,2022/4/8,ZA90346007,NT$,1,1872,1872,202201 處理費-行銷費用 台塑-久井旗山意站,202201 處理費-行銷費用
10151505,久井旗山意站,2022/4/8,ZA90346008,NT$,1,8,8,202201 處理費-行銷獎勵回饋 台塑-久井旗山意站,202201 處理費-行銷獎勵
10151505,久井旗山意站,2022/4/13,ZA90346280,NT$,1,2652,2652,202202 處理費-行銷費用 台塑-久井旗山意站,202202 處理費-行銷費用
10771688,久井學甲,2021/10/29,SY80529683,NT$,1,527,0,202109 處理費-行銷費用 台塑-久井學甲,202109 處理費-行銷費用
10771688,久井學甲,2022/1/10,WY24058176,NT$,1,1541,1541,202110 處理費-行銷費用 台塑-久井學甲,202110 處理費-行銷費用
10771688,久井學甲,2022/3/22,ZA90344892,NT$,1,782,782,202111 處理費-行銷費用 台塑-久井學甲,202111 處理費-行銷費用
10771688,久井學甲,2022/3/22,ZA90344893,NT$,1,33,33,202111 處理費-行銷獎勵回饋 台塑-久井學甲,202111 處理費-行銷獎勵
10771688,久井學甲,2022/3/25,ZA90345148,NT$,1,1004,1004,202112 處理費-行銷費用 台塑-久井學甲,202112 處理費-行銷費用
10771688,久井學甲,2022/3/25,ZA90345149,NT$,1,4,4,202112 處理費-行銷獎勵回饋 台塑-久井學甲,202112 處理費-行銷獎勵
10771688,久井學甲,2022/4/8,ZA90346009,NT$,1,1647,1647,202201 處理費-行銷費用 台塑-久井學甲,202201 處理費-行銷費用
10771688,久井學甲,2022/4/13,ZA90346281,NT$,1,1705,1705,202202 處理費-行銷費用 台塑-久井學甲,202202 處理費-行銷費用
10800213,久井佳里,2021/10/29,SY80529684,NT$,1,549,0,202109 處理費-行銷費用 台塑-久井佳里,202109 處理費-行銷費用
10800213,久井佳里,2021/10/29,SY80529685,NT$,1,7,0,202109 處理費-行銷獎勵回饋 台塑-久井佳里,202109 處理費-行銷獎勵
10800213,久井佳里,2022/1/10,WY24058177,NT$,1,954,954,202110 處理費-行銷費用 台塑-久井佳里,202110 處理費-行銷費用
10800213,久井佳里,2022/1/10,WY24058178,NT$,1,52,52,202110 處理費-行銷獎勵回饋 台塑-久井佳里,202110 處理費-行銷獎勵
10800213,久井佳里,2022/3/22,ZA90344894,NT$,1,1101,1101,202111 處理費-行銷費用 台塑-久井佳里,202111 處理費-行銷費用
10800213,久井佳里,2022/3/22,ZA90344895,NT$,1,2,2,202111 處理費-行銷獎勵回饋 台塑-久井佳里,202111 處理費-行銷獎勵
10800213,久井佳里,2022/3/25,ZA90345150,NT$,1,1015,1015,202112 處理費-行銷費用 台塑-久井佳里,202112 處理費-行銷費用
10800213,久井佳里,2022/3/25,ZA90345151,NT$,1,6,6,202112 處理費-行銷獎勵回饋 台塑-久井佳里,202112 處理費-行銷獎勵
10800213,久井佳里,2022/4/8,ZA90346010,NT$,1,2726,2726,202201 處理費-行銷費用 台塑-久井佳里,202201 處理費-行銷費用
10800213,久井佳里,2022/4/8,ZA90346011,NT$,1,23,23,202201 處理費-行銷獎勵回饋 台塑-久井佳里,202201 處理費-行銷獎勵
10800213,久井佳里,2022/4/13,ZA90346282,NT$,1,2724,2724,202202 處理費-行銷費用 台塑-久井佳里,202202 處理費-行銷費用
10800213,久井佳里,2022/4/13,ZA90346283,NT$,1,15,15,202202 處理費-行銷獎勵回饋 台塑-久井佳里,202202 處理費-行銷獎勵
12634900,*  大友,2021/10/29,SY80529686,NT$,1,538,538,202109 處理費-行銷費用 台塑-大友,202109 處理費-行銷費用
12634900,*  大友,2021/10/29,,NT$,1,0,0,202109 處理費-行銷獎勵回饋 台塑-大友,202109 處理費-行銷獎勵
12634900,*  大友,2022/1/10,WY24058179,NT$,1,1499,1499,202110 處理費-行銷費用 台塑-大友,202110 處理費-行銷費用
12634900,*  大友,2022/1/10,WY24058180,NT$,1,3,3,202110 處理費-行銷獎勵回饋 台塑-大友,202110 處理費-行銷獎勵
12634900,*  大友,2022/3/22,ZA90344896,NT$,1,1940,1940,202111 處理費-行銷費用 台塑-大友,202111 處理費-行銷費用
12634900,*  大友,2022/3/22,ZA90344897,NT$,1,4,4,202111 處理費-行銷獎勵回饋 台塑-大友,202111 處理費-行銷獎勵
12634900,*  大友,2022/3/25,ZA90345152,NT$,1,1638,1638,202112 處理費-行銷費用 台塑-大友,202112 處理費-行銷費用
12634900,*  大友,2022/4/8,ZA90346012,NT$,1,2324,2324,202201 處理費-行銷費用 台塑-大友,202201 處理費-行銷費用
12634900,*  大友,2022/4/8,ZA90346013,NT$,1,3,3,202201 處理費-行銷獎勵回饋 台塑-大友,202201 處理費-行銷獎勵
12634900,*  大友,2022/4/13,ZA90346284,NT$,1,2415,2415,202202 處理費-行銷費用 台塑-大友,202202 處理費-行銷費用
12745027,寶群,2021/10/29,SY80529687,NT$,1,1322,1322,202109 處理費-行銷費用 台塑-寶群,202109 處理費-行銷費用
12745027,寶群,2021/10/29,SY80529688,NT$,1,32,32,202109 處理費-行銷獎勵回饋 台塑-寶群,202109 處理費-行銷獎勵
12745027,寶群,2022/1/10,WY24058181,NT$,1,2729,2729,202110 處理費-行銷費用 台塑-寶群,202110 處理費-行銷費用
12745027,寶群,2022/1/10,WY24058182,NT$,1,48,48,202110 處理費-行銷獎勵回饋 台塑-寶群,202110 處理費-行銷獎勵
12745027,寶群,2022/3/22,ZA90344898,NT$,1,3589,3589,202111 處理費-行銷費用 台塑-寶群,202111 處理費-行銷費用
12745027,寶群,2022/3/22,ZA90344899,NT$,1,65,65,202111 處理費-行銷獎勵回饋 台塑-寶群,202111 處理費-行銷獎勵
12745027,寶群,2022/3/25,ZA90345153,NT$,1,3115,3115,202112 處理費-行銷費用 台塑-寶群,202112 處理費-行銷費用
12745027,寶群,2022/3/25,ZA90345154,NT$,1,92,92,202112 處理費-行銷獎勵回饋 台塑-寶群,202112 處理費-行銷獎勵
12745027,寶群,2022/4/8,ZA90346014,NT$,1,2504,2504,202201 處理費-行銷費用 台塑-寶群,202201 處理費-行銷費用
12745027,寶群,2022/4/13,ZA90346285,NT$,1,3639,3639,202202 處理費-行銷費用 台塑-寶群,202202 處理費-行銷費用
12745027,寶群,2022/4/13,ZA90346286,NT$,1,12,12,202202 處理費-行銷獎勵回饋 台塑-寶群,202202 處理費-行銷獎勵
12813164,*  翔鴻,2021/10/29,SY80529689,NT$,1,711,711,202109 處理費-行銷費用 台塑-翔鴻,202109 處理費-行銷費用
12813164,*  翔鴻,2021/10/29,SY80529690,NT$,1,9,9,202109 處理費-行銷獎勵回饋 台塑-翔鴻,202109 處理費-行銷獎勵
12813164,*  翔鴻,2022/1/10,WY24058183,NT$,1,1883,1883,202110 處理費-行銷費用 台塑-翔鴻,202110 處理費-行銷費用
12813164,*  翔鴻,2022/1/10,WY24058184,NT$,1,15,15,202110 處理費-行銷獎勵回饋 台塑-翔鴻,202110 處理費-行銷獎勵
12813164,*  翔鴻,2022/3/22,ZA90344900,NT$,1,1346,1346,202111 處理費-行銷費用 台塑-翔鴻,202111 處理費-行銷費用
12813164,*  翔鴻,2022/3/22,ZA90344901,NT$,1,68,68,202111 處理費-行銷獎勵回饋 台塑-翔鴻,202111 處理費-行銷獎勵
12813164,*  翔鴻,2022/3/25,ZA90345155,NT$,1,1193,1193,202112 處理費-行銷費用 台塑-翔鴻,202112 處理費-行銷費用
12813164,*  翔鴻,2022/3/25,ZA90345156,NT$,1,38,38,202112 處理費-行銷獎勵回饋 台塑-翔鴻,202112 處理費-行銷獎勵
12813164,*  翔鴻,2022/4/8,ZA90346015,NT$,1,1652,1652,202201 處理費-行銷費用 台塑-翔鴻,202201 處理費-行銷費用
12813164,*  翔鴻,2022/4/8,ZA90346016,NT$,1,65,65,202201 處理費-行銷獎勵回饋 台塑-翔鴻,202201 處理費-行銷獎勵
12813164,*  翔鴻,2022/4/13,ZA90346287,NT$,1,1441,1441,202202 處理費-行銷費用 台塑-翔鴻,202202 處理費-行銷費用
12813164,*  翔鴻,2022/4/13,ZA90346288,NT$,1,20,20,202202 處理費-行銷獎勵回饋 台塑-翔鴻,202202 處理費-行銷獎勵
12829829,永加,2021/10/29,SY80529660,NT$,1,3,3,202108 處理費-行銷獎勵回饋 台塑-永加,202108 處理費-行銷獎勵
12829829,永加,2021/10/29,SY80529691,NT$,1,539,539,202109 處理費-行銷費用 台塑-永加,202109 處理費-行銷費用
12829829,永加,2021/10/29,SY80529692,NT$,1,7,7,202109 處理費-行銷獎勵回饋 台塑-永加,202109 處理費-行銷獎勵
12829829,永加,2022/1/10,WY24058185,NT$,1,1547,1547,202110 處理費-行銷費用 台塑-永加,202110 處理費-行銷費用
12829829,永加,2022/1/10,WY24058186,NT$,1,52,52,202110 處理費-行銷獎勵回饋 台塑-永加,202110 處理費-行銷獎勵
12829829,永加,2022/3/22,ZA90344902,NT$,1,5283,5283,202111 處理費-行銷費用 台塑-永加,202111 處理費-行銷費用
12829829,永加,2022/3/22,ZA90344903,NT$,1,17,17,202111 處理費-行銷獎勵回饋 台塑-永加,202111 處理費-行銷獎勵
12829829,永加,2022/3/25,ZA90345157,NT$,1,4250,4250,202112 處理費-行銷費用 台塑-永加,202112 處理費-行銷費用
12829829,永加,2022/3/25,ZA90345158,NT$,1,48,48,202112 處理費-行銷獎勵回饋 台塑-永加,202112 處理費-行銷獎勵
12829829,永加,2022/4/8,ZA90346017,NT$,1,3057,3057,202201 處理費-行銷費用 台塑-永加,202201 處理費-行銷費用
12829829,永加,2022/4/8,ZA90346018,NT$,1,70,70,202201 處理費-行銷獎勵回饋 台塑-永加,202201 處理費-行銷獎勵
12829829,永加,2022/4/13,ZA90346289,NT$,1,1897,1897,202202 處理費-行銷費用 台塑-永加,202202 處理費-行銷費用
12829829,永加,2022/4/13,ZA90346290,NT$,1,68,68,202202 處理費-行銷獎勵回饋 台塑-永加,202202 處理費-行銷獎勵
12953039,政大,2021/10/29,SY80529656,NT$,1,202,0,202107 處理費-行銷費用 台塑-政大,202107 處理費-行銷費用
12953039,政大,2021/10/29,SY80529657,NT$,1,6,0,202107 處理費-行銷獎勵回饋 台塑-政大,202107 處理費-行銷獎勵
12953039,政大,2021/10/29,SY80529693,NT$,1,3934,0,202109 處理費-行銷費用 台塑-政大,202109 處理費-行銷費用
12953039,政大,2021/10/29,SY80529694,NT$,1,15,0,202109 處理費-行銷獎勵回饋 台塑-政大,202109 處理費-行銷獎勵
12953039,政大,2022/1/10,WY24058187,NT$,1,10333,0,202110 處理費-行銷費用 台塑-政大,202110 處理費-行銷費用
12953039,政大,2022/1/10,WY24058188,NT$,1,104,0,202110 處理費-行銷獎勵回饋 台塑-政大,202110 處理費-行銷獎勵
12953039,政大,2022/3/22,ZA90344904,NT$,1,13101,0,202111 處理費-行銷費用 台塑-政大,202111 處理費-行銷費用
12953039,政大,2022/3/22,ZA90344905,NT$,1,35,0,202111 處理費-行銷獎勵回饋 台塑-政大,202111 處理費-行銷獎勵
12953039,政大,2022/3/25,ZA90345159,NT$,1,14047,0,202112 處理費-行銷費用 台塑-政大,202112 處理費-行銷費用
12953039,政大,2022/3/25,ZA90345160,NT$,1,126,0,202112 處理費-行銷獎勵回饋 台塑-政大,202112 處理費-行銷獎勵
12953039,政大,2022/4/8,ZA90346019,NT$,1,20902,20902,202201 處理費-行銷費用 台塑-政大,202201 處理費-行銷費用
12953039,政大,2022/4/8,ZA90346020,NT$,1,79,79,202201 處理費-行銷獎勵回饋 台塑-政大,202201 處理費-行銷獎勵
12953039,政大,2022/4/13,ZA90346291,NT$,1,22637,22637,202202 處理費-行銷費用 台塑-政大,202202 處理費-行銷費用
12953039,政大,2022/4/13,ZA90346292,NT$,1,141,141,202202 處理費-行銷獎勵回饋 台塑-政大,202202 處理費-行銷獎勵
13047936,威盛內埔,2021/10/29,SY80529695,NT$,1,1171,0,202109 處理費-行銷費用 台塑-威盛內埔,202109 處理費-行銷費用
13047936,威盛內埔,2021/10/29,SY80529696,NT$,1,19,19,202109 處理費-行銷獎勵回饋 台塑-威盛內埔,202109 處理費-行銷獎勵
13047936,威盛內埔,2022/1/10,WY24058189,NT$,1,1700,0,202110 處理費-行銷費用 台塑-威盛內埔,202110 處理費-行銷費用
13047936,威盛內埔,2022/1/10,WY24058190,NT$,1,9,9,202110 處理費-行銷獎勵回饋 台塑-威盛內埔,202110 處理費-行銷獎勵
13047936,威盛內埔,2022/3/22,ZA90344906,NT$,1,1544,0,202111 處理費-行銷費用 台塑-威盛內埔,202111 處理費-行銷費用
13047936,威盛內埔,2022/3/22,ZA90344907,NT$,1,54,54,202111 處理費-行銷獎勵回饋 台塑-威盛內埔,202111 處理費-行銷獎勵
13047936,威盛內埔,2022/3/25,ZA90345161,NT$,1,307,307,202112 處理費-行銷費用 台塑-威盛內埔,202112 處理費-行銷費用
13047936,威盛內埔,2022/3/25,ZA90345162,NT$,1,8,0,202112 處理費-行銷獎勵回饋 台塑-威盛內埔,202112 處理費-行銷獎勵
13047936,威盛內埔,2022/4/8,ZA90346021,NT$,1,1164,1164,202201 處理費-行銷費用 台塑-威盛內埔,202201 處理費-行銷費用
13047936,威盛內埔,2022/4/13,ZA90346293,NT$,1,2133,2133,202202 處理費-行銷費用 台塑-威盛內埔,202202 處理費-行銷費用
14001199,福懋,2021/10/29,SY80529697,NT$,1,287,287,202109 處理費-行銷費用 福懋興業股份有限公司,202109 處理費-行銷費用
14001199,福懋,2021/10/29,SY80529698,NT$,1,14,14,202109 處理費-行銷獎勵回饋 福懋興業股份有限公司,202109 處理費-行銷獎勵
14001199,福懋,2022/1/11,WY24058418,NT$,1,200398,200398,202110 處理費-行銷費用 福懋興業股份有限公司,202110 處理費-行銷費用
14001199,福懋,2022/1/11,WY24058419,NT$,1,3963,3963,202110 處理費-行銷獎勵回饋 福懋興業股份有限公司,202110 處理費-行銷獎勵
14001199,福懋,2022/3/16,ZA90344859,NT$,1,326178,326178,202111 處理費-行銷費用 福懋興業股份有限公司,202111 處理費-行銷費用
14001199,福懋,2022/3/16,ZA90344860,NT$,1,5886,5886,202111 處理費-行銷獎勵回饋 福懋興業股份有限公司,202111 處理費-行銷獎勵
14001199,福懋,2022/3/16,ZA90344863,NT$,1,402096,402096,202112 處理費-行銷費用 福懋興業股份有限公司,202112 處理費-行銷費用
14001199,福懋,2022/3/16,ZA90344864,NT$,1,7356,7356,202112 處理費-行銷獎勵回饋 福懋興業股份有限公司,202112 處理費-行銷獎勵
14001199,福懋,2022/4/13,ZA90346262,NT$,1,499593,499593,202201 處理費-行銷費用 福懋興業股份有限公司,202201 處理費-行銷費用
14001199,福懋,2022/4/13,ZA90346263,NT$,1,6889,6889,202201 處理費-行銷獎勵回饋 福懋興業股份有限公司,202201 處理費-行銷獎勵
14001199,福懋,2022/4/13,ZA90346264,NT$,1,645041,645041,202202 處理費-行銷費用 福懋興業股份有限公司,202202 處理費-行銷費用
14001199,福懋,2022/4/13,ZA90346265,NT$,1,10747,10747,202202 處理費-行銷獎勵回饋 福懋興業股份有限公司,202202 處理費-行銷獎勵
14001199,福懋,2022/4/13,ZA90346266,NT$,1,681442,681442,202203 處理費-行銷費用 福懋興業股份有限公司,202203 處理費-行銷費用
14001199,福懋,2022/4/13,ZA90346267,NT$,1,10774,10774,202203 處理費-行銷獎勵回饋 福懋興業股份有限公司,202203 處理費-行銷獎勵
14521804,威盛嘉義站,2021/10/29,SY80529699,NT$,1,6873,0,202109 處理費-行銷費用 台塑-威盛嘉義站,202109 處理費-行銷費用
14521804,威盛嘉義站,2021/10/29,,NT$,1,0,0,202109 處理費-行銷獎勵回饋 台塑-威盛嘉義站,202109 處理費-行銷獎勵
14521804,威盛嘉義站,2022/1/10,WY24058191,NT$,1,14884,0,202110 處理費-行銷費用 台塑-威盛嘉義站,202110 處理費-行銷費用
14521804,威盛嘉義站,2022/1/10,WY24058192,NT$,1,34,34,202110 處理費-行銷獎勵回饋 台塑-威盛嘉義站,202110 處理費-行銷獎勵
14521804,威盛嘉義站,2022/3/22,ZA90344908,NT$,1,15005,0,202111 處理費-行銷費用 台塑-威盛嘉義站,202111 處理費-行銷費用
14521804,威盛嘉義站,2022/3/22,ZA90344909,NT$,1,88,88,202111 處理費-行銷獎勵回饋 台塑-威盛嘉義站,202111 處理費-行銷獎勵
14521804,威盛嘉義站,2022/3/25,ZA90345163,NT$,1,17888,17888,202112 處理費-行銷費用 台塑-威盛嘉義站,202112 處理費-行銷費用
14521804,威盛嘉義站,2022/3/25,ZA90345164,NT$,1,181,0,202112 處理費-行銷獎勵回饋 台塑-威盛嘉義站,202112 處理費-行銷獎勵
14521804,威盛嘉義站,2022/4/8,ZA90346022,NT$,1,23657,23657,202201 處理費-行銷費用 台塑-威盛嘉義站,202201 處理費-行銷費用
14521804,威盛嘉義站,2022/4/8,ZA90346023,NT$,1,127,127,202201 處理費-行銷獎勵回饋 台塑-威盛嘉義站,202201 處理費-行銷獎勵
14521804,威盛嘉義站,2022/4/13,ZA90346294,NT$,1,27407,27407,202202 處理費-行銷費用 台塑-威盛嘉義站,202202 處理費-行銷費用
14521804,威盛嘉義站,2022/4/13,ZA90346295,NT$,1,254,254,202202 處理費-行銷獎勵回饋 台塑-威盛嘉義站,202202 處理費-行銷獎勵
16019650,和港站,2021/10/29,SY80529700,NT$,1,1623,1623,202109 處理費-行銷費用 台塑-和港站,202109 處理費-行銷費用
16019650,和港站,2022/1/10,WY24058193,NT$,1,3730,3730,202110 處理費-行銷費用 台塑-和港站,202110 處理費-行銷費用
16019650,和港站,2022/3/22,ZA90344910,NT$,1,2734,2734,202111 處理費-行銷費用 台塑-和港站,202111 處理費-行銷費用
16019650,和港站,2022/3/22,ZA90344911,NT$,1,4,4,202111 處理費-行銷獎勵回饋 台塑-和港站,202111 處理費-行銷獎勵
16019650,和港站,2022/3/25,ZA90345165,NT$,1,2995,2995,202112 處理費-行銷費用 台塑-和港站,202112 處理費-行銷費用
16019650,和港站,2022/3/25,ZA90345166,NT$,1,14,14,202112 處理費-行銷獎勵回饋 台塑-和港站,202112 處理費-行銷獎勵
16019650,和港站,2022/4/8,ZA90346024,NT$,1,3485,3485,202201 處理費-行銷費用 台塑-和港站,202201 處理費-行銷費用
16019650,和港站,2022/4/13,ZA90346296,NT$,1,4447,4447,202202 處理費-行銷費用 台塑-和港站,202202 處理費-行銷費用
16019650,和港站,2022/4/13,ZA90346297,NT$,1,30,30,202202 處理費-行銷獎勵回饋 台塑-和港站,202202 處理費-行銷獎勵
16042391,春田,2021/10/29,SY80529701,NT$,1,1387,1387,202109 處理費-行銷費用 台塑-春田,202109 處理費-行銷費用
16042391,春田,2021/10/29,SY80529702,NT$,1,2,2,202109 處理費-行銷獎勵回饋 台塑-春田,202109 處理費-行銷獎勵
16042391,春田,2022/1/10,WY24058194,NT$,1,1172,1172,202110 處理費-行銷費用 台塑-春田,202110 處理費-行銷費用
16042391,春田,2022/3/22,ZA90344912,NT$,1,946,946,202111 處理費-行銷費用 台塑-春田,202111 處理費-行銷費用
16042391,春田,2022/3/25,ZA90345167,NT$,1,520,520,202112 處理費-行銷費用 台塑-春田,202112 處理費-行銷費用
16042391,春田,2022/4/8,ZA90346025,NT$,1,1130,1130,202201 處理費-行銷費用 台塑-春田,202201 處理費-行銷費用
16042391,春田,2022/4/8,ZA90346026,NT$,1,4,4,202201 處理費-行銷獎勵回饋 台塑-春田,202201 處理費-行銷獎勵
16042391,春田,2022/4/13,ZA90346298,NT$,1,1719,1719,202202 處理費-行銷費用 台塑-春田,202202 處理費-行銷費用
